,drift1_len,quad1_len,quad1_gra,drift2_len,quad2_len,quad2_gra,x_avg0,x_avg1,x_avg2,x_avg3,x_avg4
25,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
26,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
27,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
28,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
29,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
30,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
31,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
32,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
33,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
34,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
35,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
36,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
37,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
38,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
39,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
40,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
41,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
42,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
43,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
44,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
45,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
46,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
47,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
48,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
49,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
50,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
51,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
52,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
53,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
54,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
55,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
56,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
57,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
58,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
59,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
60,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
61,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
62,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
63,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
64,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
65,0.2,0.2,10,0.2,0.2,15,-6.325606025346049e-08,2.260790476938737e-05,1.2685695372993748e-06,8.337981955330518e-06,-4.518370329237723e-06
